zone_id,settlement,NDVI,NDBI,MNDWI,SAVI,UI,Contrast,Entropy,Homogeneity,Correlation,road_density,paved_proportion
MTH_1045,Mathare,0.0452719328986273,0.2340348048257829,-0.3230572543290272,0.0234852556392361,0.2340348048257829,40482.82089813509,4.349507488820708,0.0057274243738684,0.4609147096097155,0.0,0.0
MTH_1046,Mathare,0.021500419430661,0.2064528250322799,-0.2844600900249622,0.0119251605672424,0.2064528250322799,67695.81714500685,4.35197868639766,0.0059116245314698,0.3904495742553323,39406.2886,0.0
MTH_1047,Mathare,0.0360198349969509,0.2184941038539178,-0.3247723774815718,0.0192554408087603,0.2184941038539178,19331.25839245944,4.350691739173198,0.0107286646221004,0.4762168488926109,38654.5944,0.0
MTH_1048,Mathare,0.0779930973068899,0.1883090435304819,-0.3100851192196946,0.0427499395914903,0.1883090435304819,20461.32238501437,4.351847562691583,0.0096611075333416,0.4468866001485957,53059.1781,0.0
MTH_1049,Mathare,0.031179961663616,0.2117415994554502,-0.3078981641270423,0.0175539414462005,0.2117415994554502,22164.261674532187,4.349617559796018,0.0097348322059457,0.2952975136839162,30814.1241,0.0
MTH_1050,Mathare,0.1466292349044628,0.1516273502559511,-0.3810894158018978,0.0895579381996127,0.1516273502559511,52005.66762921371,4.3520030691355736,0.0063235923407864,0.6991445771267081,34943.9217,0.0
MTH_1051,Mathare,0.3837656317514355,0.0811988989450725,-0.5260417940795549,0.2212117667692534,0.0811988989450725,43593.9276912169,4.353741458929681,0.0032579058016126,0.432745930030629,28360.4188,0.0
MTH_1052,Mathare,0.2515363443283092,0.1492430918918353,-0.5057782073431423,0.1557754041861484,0.1492430918918353,35947.94279706298,4.350307427739224,0.0113751030981178,0.3433002973304854,36811.8598,0.0
MTH_1053,Mathare,0.2682212174743122,0.1322493641312047,-0.5022831484444205,0.1675232355996922,0.1322493641312047,32942.96777277008,4.350724085022493,0.0094109017901181,0.6416666970278815,46555.7261,0.0
MTH_1054,Mathare,0.246105028509539,0.1824065623636747,-0.5385752406021908,0.1397256190730622,0.1824065623636747,48079.43195193471,4.348082656956941,0.012863359880581,0.6709978741470429,33132.0118,0.0
MTH_1055,Mathare,0.3972817702852727,0.0804302501805405,-0.5617282646516887,0.2252250028221207,0.0804302501805405,80566.32701751702,4.34534758752437,0.0077560376123039,0.5891211480868277,21299.7923,0.0
MTH_1056,Mathare,0.4548666359082233,-0.0199378872097583,-0.498476800381639,0.2636398024251984,-0.0199378872097583,72298.24475199501,4.353741458929681,0.003441205179534,0.3309642557199098,20772.7763,0.0
MTH_1057,Mathare,0.2557606724642489,0.0604039786682884,-0.413144033648767,0.1621970648405552,0.0604039786682884,24210.433439410444,4.342621246713764,0.0132525883963697,0.5396225432846868,36839.3835,0.0
MTH_1058,Mathare,0.2893942519990166,0.0447259024573206,-0.4285270698963748,0.1786914570244495,0.0447259024573206,49143.27803915792,4.349214886870214,0.0056623287288966,0.616797416436617,53192.9753,0.0
MTH_1059,Mathare,0.2663803779393751,0.0364256089611119,-0.3982846414294473,0.1590305593530704,0.0364256089611119,76630.92004418962,4.353234220133599,0.0040038897394202,0.7093058083105763,65822.1598,0.0
MTH_1083,Mathare,0.027784999926349,0.1654076437335414,-0.2578858274694303,0.0154622127317546,0.1654076437335414,13143.070749831912,4.342401943971131,0.0193195750497856,0.4162385604732313,29878.0707,0.0
MTH_1084,Mathare,0.0505157271967503,0.1647342627891464,-0.288593791024754,0.0287805941452466,0.1647342627891464,40089.63561313718,4.348281215729722,0.0097349781402434,0.3944615473608443,27768.3475,0.0
MTH_1085,Mathare,0.0499255522955867,0.1846075633734346,-0.3102585369790031,0.0278378260543961,0.1846075633734346,39689.71801271009,4.34965305557843,0.0040115513873414,0.3867947422562629,32962.681,0.0
MTH_1086,Mathare,0.0215957929064753,0.2137013974433368,-0.285406924329218,0.0117245107081582,0.2137013974433368,29044.255895203285,4.348002495623184,0.00794362836834,0.4043551890377651,6683.0671,0.0
MTH_1087,Mathare,0.0574863278837277,0.2146981163019008,-0.3160819940590663,0.0324953322639101,0.2146981163019008,38328.1560900424,4.345582757078477,0.0098784191802632,0.5988506652473322,0.0,0.0
