zone_id,settlement,road_density,paved_proportion,total_road_length_m,road_segment_count
MTH_1009,Mathare,0.0,0.0,0.0,0
MTH_1010,Mathare,20986.4721,0.0,52.36,2
MTH_1011,Mathare,0.0,0.0,0.0,0
MTH_1012,Mathare,36620.2133,0.0,91.37,2
MTH_1013,Mathare,4604.1921,0.0,11.49,1
MTH_1014,Mathare,0.0,0.0,0.0,0
MTH_1015,Mathare,15291.2491,0.0,38.15,2
MTH_1016,Mathare,20748.6237,0.0,51.77,2
MTH_1017,Mathare,40768.3807,0.0,101.72,3
MTH_1018,Mathare,0.0,0.0,0.0,0
MTH_1019,Mathare,56340.699,0.0,131.39,2
MTH_1043,Mathare,0.0,0.0,0.0,0
MTH_1044,Mathare,20037.8966,0.0,49.99,1
MTH_1045,Mathare,0.0,0.0,0.0,0
MTH_1046,Mathare,39406.2886,0.0,98.32,2
MTH_1047,Mathare,38654.5944,0.0,96.44,2
MTH_1048,Mathare,53059.1781,0.0,132.38,6
MTH_1049,Mathare,30814.1241,0.0,76.88,2
MTH_1050,Mathare,34943.9217,0.0,87.19,2
MTH_1051,Mathare,28360.4188,0.0,70.76,2
MTH_1052,Mathare,36811.8598,0.0,91.85,2
MTH_1053,Mathare,46555.7261,0.0,116.16,4
MTH_1054,Mathare,33132.0118,0.0,82.66,2
MTH_1055,Mathare,21299.7923,0.0,53.14,1
MTH_1056,Mathare,20772.7763,0.0,51.83,2
MTH_1057,Mathare,36839.3835,0.0,91.91,3
MTH_1058,Mathare,53192.9753,0.0,132.72,3
MTH_1059,Mathare,65822.1598,0.0,149.87,5
MTH_1083,Mathare,29878.0707,0.0,60.91,2
MTH_1084,Mathare,27768.3475,0.0,69.28,2
MTH_1085,Mathare,32962.681,0.0,82.24,2
MTH_1086,Mathare,6683.0671,0.0,16.67,1
MTH_1087,Mathare,0.0,0.0,0.0,0
MTH_1088,Mathare,20100.6986,0.0,50.15,1
MTH_1089,Mathare,20156.4459,0.0,50.29,1
MTH_1090,Mathare,20083.814,0.0,50.11,1
MTH_1091,Mathare,0.0,0.0,0.0,0
MTH_1092,Mathare,23471.2697,0.0,58.56,2
MTH_1093,Mathare,24980.4145,0.0,62.33,3
MTH_1094,Mathare,21115.0079,0.0,52.68,1
MTH_1095,Mathare,297.6521,0.0,0.74,1
MTH_1096,Mathare,21404.0974,0.0,53.4,1
MTH_1097,Mathare,0.0,0.0,0.0,0
MTH_1098,Mathare,20986.4766,0.0,52.36,1
MTH_1099,Mathare,96974.3378,0.0,101.8,1
MTH_1123,Mathare,18813.316,0.0,37.35,1
MTH_1124,Mathare,39495.6397,0.0,98.54,3
MTH_1125,Mathare,22018.0437,0.0,54.94,2
MTH_1126,Mathare,21998.3834,0.0,54.89,2
MTH_1127,Mathare,5682.8634,0.0,14.18,1
MTH_1128,Mathare,31766.7476,0.0,79.26,4
