shap_NDVI,shap_NDBI,shap_MNDWI,shap_Contrast,shap_Entropy,shap_Homogeneity,shap_Correlation,shap_road_density,shap_paved_proportion,zone_id,settlement,SCMI,xgb_pred
0.008609467,0.02843858,-0.0032044172,0.0051990096,-0.0027079876,0.0018343596,-0.005452235,0.013478281,0.0,MTH_333,Mathare,0.1578758048493706,0.11980915069580078
0.0055814097,0.030682988,-0.0031140116,-0.0007548561,-0.0018490215,-0.0017148932,-0.0062464536,-0.007671356,0.0,MTH_334,Mathare,0.0987739911112139,0.09250903874635696
-0.00468545,-0.00651549,-0.0032073378,-0.003312899,-0.0011792104,0.0029145845,-0.008401323,-0.01004771,0.0,MTH_335,Mathare,0.0536825718923578,0.0662764459848404
0.0022194644,0.00903487,0.0012048865,0.012436422,0.005891991,0.0016938293,0.0027327135,-0.007892731,0.0,MTH_364,Mathare,0.1368602085166921,0.09489080309867859
-0.0032676966,-0.004507802,0.0021144112,0.008633502,0.007287172,0.0035068367,-0.002006341,-0.0059816386,0.0,MTH_365,Mathare,0.1203341096805306,0.08234263211488724
-0.00097553706,0.0067775007,-0.0010589637,-0.0031938101,0.0025784858,-0.0011198004,0.0017865023,-0.004794304,0.0,MTH_366,Mathare,0.1154775394499745,0.08365625143051147
-0.0005856378,-0.010770519,0.00586836,0.0044566756,-0.0020781488,0.00058877235,-0.0009515972,0.004455399,0.0,MTH_367,Mathare,0.0861082446173018,0.12054621428251266
-0.0032396216,0.012906646,-0.0006555468,0.00810847,7.170863e-05,-0.0025040447,-0.004034336,0.013492045,0.0,MTH_368,Mathare,0.0974416584307023,0.13610213994979858
0.010625344,0.025431646,-0.0077285236,0.0006800995,-0.010223999,-0.00529937,0.0018900615,-0.00062419986,0.0,MTH_369,Mathare,0.1072617242480578,0.11388790607452393
0.0070480546,0.019265076,-0.0014004455,-0.010686393,0.005947271,-0.0065993015,-0.0065855538,0.0075822542,0.0,MTH_370,Mathare,0.1011297541076687,0.16198192536830902
0.012292587,0.020227693,0.0033326782,0.0079282215,0.0041572815,-0.0006434061,-0.002521697,-0.0119238375,0.0,MTH_371,Mathare,0.1150994592503802,0.14063851535320282
0.010733926,0.036356106,-0.0023912624,0.008692964,0.0029103511,0.001854692,-0.004732513,-0.012085372,0.0,MTH_372,Mathare,0.1406099124226774,0.12516683340072632
0.01394425,0.030396385,-0.0010705206,-0.0015714498,0.0016413117,-0.0018488163,0.0015878725,-0.0088587385,0.0,MTH_373,Mathare,0.1392232699146424,0.10778381675481796
0.007967266,0.017995857,-4.5682646e-05,0.0036165323,-6.208895e-05,-0.0031779732,0.0006214999,-0.0075697755,0.0,MTH_374,Mathare,0.1150238291040595,0.09919070452451706
-0.0055268505,0.0013731318,-0.0029419865,-0.0038298438,-0.00025705723,0.0016493559,-0.0035370525,-0.01056509,0.0,MTH_375,Mathare,0.0615293217420081,0.072590671479702
-0.0028754717,0.0053541865,0.00023294856,-0.0039223633,0.00086576917,0.0010918856,-0.0015293593,-0.009977942,0.0,MTH_400,Mathare,0.1070972349598287,0.07143767923116684
-0.0062891603,-0.00858948,0.0021134038,0.0076283705,0.0050042598,0.0028025166,-0.003417774,-0.006174454,0.0,MTH_401,Mathare,0.0798266015310294,0.07525788247585297
0.00016668394,-0.007713697,0.0015411974,0.01452747,0.00510792,-0.0013207291,0.000334633,-0.003587815,0.0,MTH_402,Mathare,0.0988765719224785,0.08929972350597382
-0.0025660298,-0.0077735325,0.0020980386,0.0062506883,0.00055945356,0.00023495447,0.0005120801,-0.0017878554,0.0,MTH_403,Mathare,0.0900882198737959,0.08092518150806427
-0.0025921522,-0.007266977,0.0020083722,0.014442387,0.00017393108,0.001116499,0.0005172716,-0.00338702,0.0,MTH_404,Mathare,0.0966471743888433,0.08649671077728271
-0.006394032,-0.011017045,-0.0007320053,0.007770295,-0.0019953367,-0.0005976453,-0.00086435536,-0.0022616915,0.0,MTH_405,Mathare,0.0948294912149001,0.07040095329284668
-0.008994649,-0.014088197,0.0006427635,-0.0046425425,-0.00043143376,0.0017861286,-8.781064e-05,0.0019133858,0.0,MTH_406,Mathare,0.0708506812256696,0.06189819052815437
-0.004209632,-0.0102780685,-0.0007781717,-0.004057176,-0.001691987,0.00065139885,-0.001378404,-0.006496139,0.0,MTH_407,Mathare,0.0817215312145117,0.06089691072702408
-0.0031302336,-0.0040746806,-0.00021774348,0.0016502093,0.003657189,0.0006384391,-0.00031809704,-0.0017264696,0.0,MTH_408,Mathare,0.1007140217027699,0.0753202810883522
-0.00079597684,0.009856128,-0.0022587124,0.0060146446,0.0044017704,0.002513435,0.003299298,-0.009870074,0.0,MTH_409,Mathare,0.1061938528885032,0.09867192804813385
0.011657084,0.035302926,-0.0035519311,0.0038894769,-0.0050727255,0.00070967915,-0.00092956587,-0.0024375413,0.0,MTH_410,Mathare,0.1287231377893796,0.11916034668684006
0.010819723,0.030241838,-0.001004507,0.0040065534,-0.0016109756,0.0014084614,-0.0071543455,0.00132865,0.0,MTH_411,Mathare,0.1322691485368534,0.12040212005376816
0.01605135,0.028118104,-0.0020738577,0.00059893465,-0.004455275,0.00023365364,-0.015224462,0.0066460045,0.0,MTH_412,Mathare,0.1074699819908336,0.10635705292224884
0.013405032,0.034217253,-0.0093391705,-0.01317388,-0.0031154517,-0.0005601818,-0.00032830937,0.014675111,0.0,MTH_413,Mathare,0.0978431258642629,0.19334115087985992
0.014185234,0.0018372758,-0.010774118,0.0029370028,0.00041809233,-0.0060271323,0.005187264,-0.012250374,0.0,MTH_414,Mathare,0.0514883724736143,0.12404051423072815
-0.006130594,0.0042824736,-0.0027211846,-0.0036976535,-0.0027467206,-3.415841e-05,-0.0037411521,-0.0066381055,0.0,MTH_415,Mathare,0.0577717553255402,0.08028268814086914
-0.005015764,-0.0069619245,-0.003442242,-0.0059274277,-0.0017448511,0.0014898839,-0.006942688,-0.008758021,0.0,MTH_416,Mathare,0.0418095780763073,0.06377969682216644
-0.0030942482,0.004253978,-0.0016156073,-0.005760801,0.0006491955,0.0018206026,-0.00072142977,-0.0004374384,0.0,MTH_440,Mathare,0.0825674494355734,0.09877074509859085
-0.0035265335,-0.011047286,-0.00012715193,0.00035297335,0.00093396736,-0.0013063194,-0.0014185468,-0.00079586596,0.0,MTH_441,Mathare,0.0713077372262825,0.08063342422246933
-0.0028630935,-0.009435827,0.002121489,0.006331435,0.0018821316,0.00017361021,-0.0014954866,-0.004971092,0.0,MTH_442,Mathare,0.0848472853303768,0.08058692514896393
-0.0029599196,-0.009322723,0.001960387,0.007649766,0.004489308,0.0015309065,0.0005394387,-0.0014067057,0.0,MTH_443,Mathare,0.1038182194605463,0.08036372810602188
-0.0036866008,-0.007734878,0.0006654757,-0.0014242218,0.0005491448,0.00046915247,0.00061541056,-0.00063634565,0.0,MTH_444,Mathare,0.0890374721583118,0.07277286052703857
-0.0030336305,-0.008768318,0.0017728388,0.011745458,0.0043697497,0.000531999,0.0018846925,-0.0040646563,0.0,MTH_445,Mathare,0.1188613099252324,0.07853836566209793
-0.0065965126,-0.011819944,0.0006491177,-0.00064370426,0.0029145787,-0.00052620197,0.0020567,0.0015743402,0.0,MTH_446,Mathare,0.099935716948282,0.06911594420671463
-0.0059321774,-0.009890735,0.00033758796,-0.003649683,-0.00010307226,0.0017258249,0.0017871319,0.00013031779,0.0,MTH_447,Mathare,0.1087357048731269,0.07029905915260315
-0.010574692,-0.009076307,-0.0005041033,0.00041485293,-0.0009864976,-0.0008549729,0.0017917143,0.011487401,0.0,MTH_448,Mathare,0.0878924170260447,0.08029323071241379
0.010544337,0.038363528,-0.002147894,0.0028690125,-0.013376571,0.0022119589,-0.0057416977,0.014132164,0.0,MTH_449,Mathare,0.1193693468599676,0.17154638469219208
