zone_id,settlement,NDVI,NDBI,MNDWI,SAVI,UI,Contrast,Entropy,Homogeneity,Correlation
MTH_289,Mathare,0.42665763801216583,-0.04229047269082594,-0.4462416578526565,0.2526212914324748,-0.04229047269082594,117596.84741214883,4.353741458929681,0.0014254896696542399,0.45607226383175364
MTH_290,Mathare,0.5116151526074316,-0.0594801641932189,-0.5003152194633999,0.289607110482395,-0.0594801641932189,137313.29281652658,4.353741458929681,0.0030206331976155233,0.35722252084297257
MTH_291,Mathare,0.321270994829961,0.07586388410876639,-0.47897688088604656,0.17329193636663964,0.07586388410876639,127517.32424191193,4.353741458929681,0.0036793533236435714,0.5221331721234542
MTH_292,Mathare,0.2753640677029504,0.03506942821590498,-0.3794129740234035,0.16965131492275395,0.03506942821590498,105362.35875663244,4.353741458929681,0.0022400752988623184,0.5824412406483812
MTH_293,Mathare,0.11278250387658302,0.08490901748384586,-0.2452886562703965,0.056142945506525925,0.08490901748384586,130632.69773296843,4.347635878232656,0.0012332293697060225,0.558696833485885
MTH_294,Mathare,0.07651407953271677,0.11644104900927378,-0.2579157064942195,0.03579731043737823,0.11644104900927378,48419.978862827775,4.3452446116340235,0.004606840327046477,0.6385858018258942
MTH_295,Mathare,0.21660188331987726,0.0580541175793075,-0.3777459977337073,0.12190233983315954,0.0580541175793075,82011.64530669218,4.352711994105399,0.003019631089665302,0.6660152887721524
MTH_327,Mathare,0.44396349441162053,-0.0446975564083716,-0.4496039214408988,0.2734055281611353,-0.0446975564083716,109651.29479350765,4.348861436836027,0.004480221736464649,0.6218638433424317
MTH_328,Mathare,0.4570309565058082,-0.04151309920116148,-0.4663513310533877,0.285481458776469,-0.04151309920116148,95875.71018830394,4.352420894176314,0.0032086313743166306,0.5321369135497294
MTH_329,Mathare,0.5667701102091042,-0.0959466630137726,-0.4977969831110543,0.32778330395253025,-0.0959466630137726,114130.68478631855,4.353741458929681,0.0015645266174690324,0.35170678198984145
MTH_330,Mathare,0.6398216153910135,-0.13209920644389264,-0.5285666046995292,0.35281364736322723,-0.13209920644389264,141069.21633293302,4.353741458929681,0.0024305568318973452,0.2850498504480548
MTH_331,Mathare,0.5491946252629508,-0.0711611713636798,-0.5180048582063309,0.31356855466512096,-0.0711611713636798,119568.74828852304,4.353741458929681,0.00460413762035506,0.4875691282444685
MTH_332,Mathare,0.2673525551336302,0.021805261301492348,-0.3308384046128647,0.16246051206364173,0.021805261301492348,101310.0537048649,4.352282838739275,0.004315510070764866,0.4289896171240883
MTH_333,Mathare,0.38765165143902386,-0.04061232597558846,-0.3786213563631113,0.2109353825570241,-0.04061232597558846,125637.49193845375,4.350763096854391,0.0036637482315162177,0.426404780590943
MTH_334,Mathare,0.2512659920633174,0.014888626914088904,-0.3178479058592398,0.12570303592657978,0.014888626914088904,65044.88014943005,4.335425432283321,0.006657211561001976,0.7269283132791449
MTH_335,Mathare,0.07917300665941508,0.12169335035498086,-0.2631176051290769,0.03661611865422276,0.12169335035498086,47506.24679176364,4.335062720638541,0.012938980499295007,0.7284969190384599
MTH_364,Mathare,0.055538442339427445,0.08508569564712166,-0.246804877362294,0.035365720609604405,0.08508569564712166,85284.95687894901,4.353741458929681,0.004728655138873216,0.38585941915275696
MTH_365,Mathare,0.06259953705326983,0.13417146613043837,-0.30390976835485517,0.03820591246997411,0.13417146613043837,58051.5047377791,4.353741458929681,0.0029383588107561674,0.6621909724029382
MTH_366,Mathare,0.07844456873848225,0.10660301052484178,-0.28084245631572097,0.048588022197848635,0.10660301052484178,39828.10817048417,4.352544976943315,0.001718979859348206,0.5060881210235371
MTH_367,Mathare,0.11042260568095114,0.13938533884736296,-0.3088458105814804,0.06118247738351192,0.13938533884736296,67475.66098928994,4.333979287573449,0.007867743674711937,0.5698808632328639
MTH_368,Mathare,0.1596007002764472,0.09930790161199131,-0.29906167741560785,0.08990321858880972,0.09930790161199131,88101.69006099118,4.345805623124336,0.010719908993730005,0.5916107582871082
MTH_369,Mathare,0.39584198158210027,-0.024179805520566852,-0.4192312064505104,0.2351915971368956,-0.024179805520566852,76353.56050095007,4.353548805988551,0.002250437084552428,0.47574176840045346
MTH_370,Mathare,0.48848795187083,-0.05328963355359845,-0.49072167095252095,0.2830983441073192,-0.05328963355359845,69624.91936775885,4.353741458929681,0.0017932381676938102,0.1829130242273204
MTH_371,Mathare,0.4780733421276296,-0.04839485049470621,-0.48308917243020333,0.2748546607839594,-0.04839485049470621,79625.37622353963,4.353741458929681,0.0016828734462659082,0.34936254492085494
MTH_372,Mathare,0.3650103600780526,-0.013416773402740919,-0.3993928453315118,0.21463090853027358,-0.013416773402740919,81226.2803374851,4.349865136157764,0.007921429322659811,0.442412617973476
MTH_373,Mathare,0.3886851541179523,-0.036062964698197426,-0.4027658030333861,0.2233227649743009,-0.036062964698197426,65699.45504496482,4.352022236083224,0.008543338042846266,0.5083181420395183
MTH_374,Mathare,0.26847522182835915,0.026874004595741692,-0.3532837016676432,0.15221892319722377,0.026874004595741692,78899.3789541016,4.343094857460073,0.008150276153671532,0.599009583523611
MTH_375,Mathare,0.09096191850277136,0.10888639734372095,-0.26981461049664784,0.04345930187106688,0.10888639734372095,41502.078310767814,4.344967373305636,0.013906912966402047,0.6945778966447125
MTH_400,Mathare,0.09012571352763099,0.11340264405692438,-0.2983794555603467,0.05433285284867455,0.11340264405692438,31520.540156960084,4.34961558285492,0.008772922947460933,0.5926295429155377
MTH_401,Mathare,0.07572202759599601,0.1499400936002207,-0.31299525598093786,0.04344185933579897,0.1499400936002207,66185.73119949117,4.353658719122136,0.004023477016146716,0.6343480749980355
MTH_402,Mathare,0.04943325846000121,0.15526244185649984,-0.28915694830052924,0.029755350013433456,0.15526244185649984,82194.41422154443,4.353741458929681,0.0070185187307824255,0.4524597550745414
MTH_403,Mathare,0.024692337598773487,0.18222536429761652,-0.28149038376114444,0.013704364540114708,0.18222536429761652,66322.83830407407,4.352359874262045,0.005570168216995659,0.2784384401180047
MTH_404,Mathare,0.03529798955397384,0.18098171188520973,-0.29051264659858406,0.019874823711072295,0.18098171188520973,79114.49987317504,4.351289720256396,0.004840752637283725,0.35282366808473353
MTH_405,Mathare,0.03098837813260917,0.21226176737714192,-0.30089542608488706,0.016079691364678843,0.21226176737714192,60900.74943292892,4.346504043909789,0.006504058644276,0.4947774307065368
MTH_406,Mathare,0.03783815888032919,0.186970029663307,-0.2916633183957531,0.021102040582018516,0.186970029663307,29948.030801801586,4.3461209883653655,0.012385523941477499,0.6177805328758658
